,City ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,546105,Nikolskoye,59.7,30.79,33.8,80,90,8.95,RU
1,3833367,Ushuaia,-54.8,-68.3,46.4,45,20,31.09,AR
2,4030556,Rikitea,-23.12,-134.97,76.08,79,24,7.52,PF
3,6170031,Tuktoyaktuk,69.45,-133.04,8.6,84,90,19.46,CA
4,5122534,Jamestown,42.1,-79.24,39.99,60,90,26.4,US
5,2075265,Busselton,-33.65,115.33,70.0,55,58,7.0,AU
6,3466704,Castro,-24.79,-50.01,62.08,96,94,2.98,BR
7,3874787,Punta Arenas,-53.15,-70.92,46.4,65,0,29.97,CL
8,5546220,Saint George,37.1,-113.58,50.0,27,1,1.39,US
9,3652764,Puerto Ayora,-0.74,-90.35,70.0,87,96,8.99,EC
10,2094342,Kavieng,-2.57,150.8,80.92,82,100,5.55,PG
11,2396518,Port-Gentil,-0.72,8.78,79.57,83,100,11.65,GA
12,3373652,Oistins,13.07,-59.53,80.6,88,75,9.17,BB
13,3366880,Hermanus,-34.42,19.23,53.01,88,68,10.2,ZA
14,6067747,Matagami,49.75,-77.63,35.6,93,90,13.87,CA
15,3443061,Chui,-33.7,-53.46,60.46,89,40,8.93,UY
16,2208248,Kaitangata,-46.28,169.85,62.44,57,50,10.31,NZ
17,3372964,Lagoa,39.05,-27.98,64.81,85,28,12.88,PT
18,3430863,Mar del Plata,-38.0,-57.56,54.0,87,20,3.53,AR
19,3934707,Mollendo,-17.02,-72.01,63.36,78,75,7.61,PE
20,1651810,Airai,-8.93,125.41,82.78,37,2,7.18,TL
21,4020109,Atuona,-9.8,-139.03,78.08,74,40,14.23,PF
22,5848280,Kapaa,22.08,-159.32,73.4,94,90,8.05,US
23,1852357,Shimoda,34.67,138.95,71.6,53,75,13.87,JP
24,2110227,Butaritari,3.07,172.79,81.79,72,84,11.68,KI
25,1651531,Ambon City,-3.7,128.18,91.4,63,40,8.05,ID
26,3424607,Tasiilaq,65.61,-37.64,14.79,91,100,2.8,GL
27,6201424,Mataura,-46.19,168.86,59.0,77,48,18.99,NZ
28,3418910,Upernavik,72.79,-56.15,18.86,89,100,16.24,GL
29,1714733,Dingle,11.0,122.67,86.61,73,15,11.68,PH
30,255030,Plátanos,37.67,21.62,50.0,93,20,4.72,GR
31,4513583,Hamilton,39.18,-84.53,46.99,49,40,16.11,US
32,5106841,Albany,42.6,-73.97,52.0,96,100,6.02,US
33,2022572,Khatanga,71.97,102.5,-3.73,92,89,11.9,RU
34,2122090,Pevek,69.7,170.31,3.74,94,83,6.73,RU
35,5962442,Goderich,43.75,-81.72,41.0,60,100,33.33,CA
36,2206939,Bluff,-46.6,168.33,59.0,77,11,18.99,NZ
37,964432,Port Alfred,-33.59,26.89,65.66,90,100,11.5,ZA
38,2194098,Ahipara,-35.17,173.17,66.36,77,51,7.9,NZ
39,1006984,East London,-33.02,27.91,64.4,93,90,2.24,ZA
40,4035715,Avarua,-21.21,-159.78,77.0,88,13,12.75,CK
41,4036284,Alofi,-19.06,-169.92,82.4,69,40,12.75,NU
42,2112309,Katsuura,35.13,140.3,71.01,63,20,5.82,JP
43,3369157,Cape Town,-33.93,18.42,59.0,67,0,13.87,ZA
44,1007311,Durban,-29.86,31.03,69.01,93,0,5.82,ZA
45,80509,Al Bardīyah,31.76,25.09,62.94,69,26,11.36,LY
46,2180737,Turangi,-39.0,175.93,64.99,77,30,1.99,NZ
47,3469437,Bom Jesus da Lapa,-13.26,-43.42,71.02,91,100,5.88,BR
